"DRG","MAJ_DX_CAT","PARTITION","DESCRIPTOR","WEIGHT","ARITH_LOS","MEAN_LOS","CUTOFF"
"       328","11                ","MEDICAL           ","URETHRAL STRICTURE AGE >17 ","       61.43","            5.2","            3.6","         36 "
"       329","11                ","MEDICAL           ","URETHRAL STRICTURE AGE >17 ","       39.78","            2.8","              2","         18 "
"       330","11                ","MEDICAL           ","URETHRAL STRICTURE AGE 0-17","       27.54","              0","            1.6","          9 "
"       331","11                ","MEDICAL           ","OTHER KIDNEY & URINARY     ","       95.66","            7.6","            5.3","         37 "
"       332","11                ","MEDICAL           ","OTHER KIDNEY & URINARY     ","        53.4","            4.4","              3","         35 "
"       333","11                ","MEDICAL           ","OTHER KIDNEY & URINARY     ","       90.94","              7","            4.8","         37 "
"       334","12                ","PROCEDURAL        ","MAJOR MALE PELVIC          ","      175.09","           10.1","            8.9","         32 "
"       335","12                ","PROCEDURAL        ","MAJOR MALE PELVIC          ","      135.74","            7.9","            7.4","         21 "
"       336","12                ","PROCEDURAL        ","TRANSURETHRAL PROSTATECTOMY","       90.05","            6.2","              5","         26 "
"       337","12                ","PROCEDURAL        ","TRANSURETHRAL PROSTATECTOMY","       61.63","            4.1","            3.7","         13 "
"       338","12                ","PROCEDURAL        ","TESTES PROCEDURES",NA,NA,NA,NA
"       339","12                ","PROCEDURAL        ","TESTES PROCEDURES",NA,NA,NA,NA
"       340","12                ","PROCEDURAL        ","TESTES PROCEDURES",NA,NA,NA,NA
"       341","12                ","PROCEDURAL        ","PENIS PROCEDURES           ","       96.15","            4.4","            3.3","         25 "
"       342","12                ","PROCEDURAL        ","CIRCUMCISION AGE >17       ","       59.55","            4.2","            2.5","         35 "
"       343","12                ","PROCEDURAL        ","CIRCUMCISION AGE 0-17      ","       37.42","              2","            1.7","          6 "
"       344","12                ","PROCEDURAL        ","OTHER MALE REPRODUCTIVE    ","      104.92","            6.1","            4.4","         36 "
"       345","12                ","PROCEDURAL        ","OTHER MALE REPRODUCTIVE    ","       72.63","              5","            3.3","         35 "
"       346","12                ","MEDICAL           ","MALIGNANCY",NA,NA,NA,NA
"       347","12                ","MEDICAL           ","MALIGNANCY",NA,NA,NA,NA
"       348","12                ","MEDICAL           ","BENIGN PROSTATIC           ","       67.09","            5.7","            3.9","         36 "
"       349","12                ","MEDICAL           ","BENIGN PROSTATIC           ","       40.49","            3.1","            2.3","         20 "
"       350","12                ","MEDICAL           ","INFLAMMATION OF THE MALE   ","       67.31","              6","            4.9","         28 "
"       351","12                ","MEDICAL           ","STERILIZATION",NA,NA,NA,NA
"       352","12                ","MEDICAL           ","OTHER MALE REPRODUCTIVE    ","       58.38","            4.7","            3.3","         35 "
"       353","13                ","PROCEDURAL        ","PELVIC EVISCERATION",NA,NA,NA,NA
"       354","13                ","PROCEDURAL        ","UTERINE",NA,NA,NA,NA
"       355","13                ","PROCEDURAL        ","UTERINE",NA,NA,NA,NA
"       356","13                ","PROCEDURAL        ","FEMALE REPRODUCTIVE SYSTEM ","       70.76","            4.7","            4.1","         17 "
"       357","13                ","PROCEDURAL        ","UTERINE & ADNEXA PROC FOR  ","      221.67","           12.7","           10.2","         42 "
"       358","13                ","PROCEDURAL        ","UTERINE & ADNEXA PROC FOR  ","      111.04","              7","              6","         23 "
"       359","13                ","PROCEDURAL        ","UTERINE & ADNEXA PROC FOR  ","       78.23","            4.9","            4.6","         12 "
"       360","13                ","PROCEDURAL        ","VAGINA",NA,NA,NA,NA
"       361","13                ","PROCEDURAL        ","LAPAROSCOPY & INCISIONAL   ","       85.12","            5.3","            3.3","         35 "
"       362","13                ","PROCEDURAL        ","ENDOSCOPIC TUBAL           ","       49.21","              0","            1.4","          5 "
"       363","13                ","PROCEDURAL        ","D&C",NA,NA,NA,NA
"       364","13                ","PROCEDURAL        ","D&C",NA,NA,NA,NA
"       365","13                ","PROCEDURAL        ","OTHER FEMALE REPRODUCTIVE  ","      168.78","             11","            7.4","         39 "
"       366","13                ","MEDICAL           ","MALIGNANCY",NA,NA,NA,NA
"       367","13                ","MEDICAL           ","MALIGNANCY",NA,NA,NA,NA
"       368","13                ","MEDICAL           ","INFECTIONS",NA,NA,NA,NA
"       369","13                ","MEDICAL           ","MENSTRUAL & OTHER FEMALE   ","       52.74","            4.7","            3.2","         35 "
"       370","14                ","PROCEDURAL        ","CESAREAN SECTION W CC      ","      102.37","            8.1","            5.8","         37 "
"       371","14                ","PROCEDURAL        ","CESAREAN SECTION W/O CC    ","       64.56","            4.4","            4.1","         11 "
"       372","14                ","MEDICAL           ","VAGINAL DELIVERY W         ","       52.35","            4.9","            3.3","         30 "
"       373","14                ","MEDICAL           ","VAGINAL DELIVERY W/O       ","       31.69","            2.5","            2.1","          8 "
"       374","14                ","PROCEDURAL        ","VAGINAL DELIVERY W         ","       50.45","              3","            2.5","          9 "
"       375","14                ","PROCEDURAL        ","VAGINAL DELIVERY W O.R.    ","       67.35","              4","            4.4","         29 "
"       376","14                ","MEDICAL           ","POSTPARTUM & POST ABORTION ","       37.64","            3.7","            2.5","         23 "
"       377","14                ","PROCEDURAL        ","POSTPARTUM & POST ABORTION ","      102.78","            5.9","            3.1","         35 "
"       378","14                ","MEDICAL           ","ECTOPIC PREGNANCY          ","       75.32","            4.3","            3.9","         14 "
"       379","14                ","MEDICAL           ","THREATENED ABORTION        ","       28.92","            3.1","            2.1","         16 "
"       380","14                ","MEDICAL           ","ABORTION W/O D&C           ","        27.2","            1.9","            1.4","          9 "
"       381","14                ","PROCEDURAL        ","ABORTION W D&C",NA,NA,NA,NA
"       382","14                ","MEDICAL           ","FALSE LABOR                ","       12.51","            1.4","            1.2","          5 "
"       383","14                ","MEDICAL           ","OTHER ANTEPARTUM DIAGNOSES ","       39.34","            4.4","            3.3","         31 "
"       384","14                ","MEDICAL           ","OTHER ANTEPARTUM DIAGNOSES ","       30.27","            3.1","            2.2","         21 "
"       385","15                ","NEITHER           ","NEONATES",NA,NA,NA,NA
"       386","15                ","NEITHER           ","EXTREME IMMATURITY OR      ","      360.39","              0","           17.9","         50 "
"       387","15                ","NEITHER           ","PREMATURITY W MAJOR        ","      180.46","              0","           13.3","         45 "
"       388","15                ","NEITHER           ","PREMATURITY W/O MAJOR      ","      114.31","              0","            8.6","         41 "
"       389","15                ","NEITHER           ","FULL TERM NEONATE W MAJOR  ","      138.46","            8.5","            6.1","         38 "
"       390","15                ","NEITHER           ","NEONATE W OTHER SIGNIFICANT","       84.22","            6.1","            4.1","         36 "
"       391","15                ","NEITHER           ","NORMAL NEWBORN             ","       21.91","              2","            3.1","         11 "
"       392","16                ","PROCEDURAL        ","SPLENECTOMY AGE >17        ","      329.12","           15.4","           11.6","         44 "
"       393","16                ","PROCEDURAL        ","SPLENECTOMY AGE 0-17       ","      150.22","             11","            9.1","         41 "
"       394","16                ","PROCEDURAL        ","OTHER O.R. PROCEDURES OF   ","      157.19","           10.7","            5.7","         38 "
"       395","16                ","MEDICAL           ","RED BLOOD CELL DISORDERS   ","       76.79","            6.6","            4.6","         37 "
"       396","16                ","MEDICAL           ","RED BLOOD CELL DISORDERS   ","       52.46","            4.4","            2.4","         34 "
"       397","16                ","MEDICAL           ","COAGULATION DISORDERS      ","      121.28","            7.7","            5.5","         37 "
"       398","16                ","MEDICAL           ","RETICULOENDOTHELIAL &      ","       120.8","            8.7","            6.6","         39 "
"       399","16                ","MEDICAL           ","RETICULOENDOTHELIAL &      ","       66.61","            5.5","              4","         36 "
"       400","17                ","PROCEDURAL        ","LYMPHOMA & LEUKEMIA W MAJOR","      259.85","           14.1","            9.5","         41 "
"       401","17                ","PROCEDURAL        ","LYMPHOMA & NON-ACUTE       ","       225.1","           15.2","           10.3","         42 "
"       402","17                ","PROCEDURAL        ","LYMPHOMA & NON-ACUTE       ","       87.01","            5.4","            3.6","         36 "
"       403","17                ","MEDICAL           ","LYMPHOMA & NON-ACUTE       ","      161.25","             12","            8.1","         40 "
"       404","17                ","MEDICAL           ","LYMPHOMA & NON-ACUTE       ","       72.82","            5.8","            3.9","         36 "
"       405","17                ","NEITHER           ","ACUTE LEUKEMIA W/O MAJOR   ","      102.81","             13","            4.9","         37 "
"       406","17                ","PROCEDURAL        ","MYELOPROLIF DISORD OR      ","      265.66","           14.9","           10.9","         43 "
"       407","17                ","PROCEDURAL        ","MYELOPROLIF DISORD OR      ","      115.19","            6.7","            5.3","         37 "
"       408","17                ","PROCEDURAL        ","MYELOPROLIF DISORD OR      ","      110.46","            7.3","            4.3","         36 "
"       409","17                ","MEDICAL           ","RADIOTHERAPY               ","      100.94","            9.8","            6.4","         38 "
"       410","17                ","MEDICAL           ","CHEMOTHERAPY W/O ACUTE     ","        55.4","            3.5","            2.8","         19 "
"       411","17                ","MEDICAL           ","HISTORY OF MALIGNANCY W/O  ","       45.69","            4.3","            2.6","         33 "
"       412","17                ","MEDICAL           ","HISTORY OF MALIGNANCY W    ","       42.16","              3","            2.1","         21 "
"       413","17                ","MEDICAL           ","OTHER MYELOPROLIF DIS OR   ","      132.99","           11.1","            7.5","         40 "
"       414","17                ","MEDICAL           ","OTHER MYELOPROLIF DIS OR   ","       72.31","            6.7","            4.3","         36 "
"       415","18                ","PROCEDURAL        ","O.R. PROCEDURE FOR         ","      360.42","             21","           14.9","         47 "
"       416","18                ","MEDICAL           ","SEPTICEMIA AGE >17         ","      153.08","           10.6","            7.5","         40 "
"       417","18                ","MEDICAL           ","SEPTICEMIA AGE 0-17        ","      103.15","            6.3","            5.1","         37 "
"       418","18                ","MEDICAL           ","POSTOPERATIVE &            ","       95.85","            8.5","            6.5","         39 "
"       419","18                ","MEDICAL           ","FEVER OF UNKNOWN ORIGIN AGE","       95.48","            7.7","            5.8","         38 "
"       420","18                ","MEDICAL           ","FEVER OF UNKNOWN ORIGIN AGE","       64.84","            5.6","            4.5","         30 "
"       421","18                ","MEDICAL           ","VIRAL ILLNESS AGE >17      ","       66.67","            5.7","            4.4","         32 "
"       422","18                ","MEDICAL           ","VIRAL ILLNESS & FEVER OF   ","       59.16","            5.5","              4","         33 "
"       423","18                ","MEDICAL           ","OTHER INFECTIOUS &         ","       162.4","           11.8","            8.2","         40 "
"       424","19                ","PROCEDURAL        ","O.R. PROCEDURE W PRINCIPAL ","      236.95","           23.6","           12.6","         45 "
"       425","19                ","MEDICAL           ","ACUTE ADJUST REACT &       ","       71.13","            6.9","            4.7","         37 "
"       426","19                ","MEDICAL           ","DEPRESSIVE NEUROSES        ","       62.41","            7.8","            5.5","         37 "
"       427","19                ","MEDICAL           ","NEUROSES EXCEPT DEPRESSIVE ","       60.28","            7.8","            5.2","         37 "
"       428","19                ","MEDICAL           ","DISORDERS OF PERSONALITY & ","       78.31","           10.8","            6.6","         39 "
"       429","19                ","MEDICAL           ","ORGANIC DISTURBANCES &     ","       93.42","           12.3","            7.6","         40 "
"       430","19                ","MEDICAL           ","PSYCHOSES                  ","       90.74","           12.8","            8.8","         41 "
"       431","19                ","MEDICAL           ","CHILDHOOD MENTAL DISORDERS ","       73.55","            9.2","            6.1","         38 "
"       432","19                ","MEDICAL           ","OTHER MENTAL DISORDER      ","        69.6","            6.9","            4.3","         36 "
"       433","20                ","NEITHER           ","ALCOHOL/DRUG ABUSE OR      ","       37.54","            4.7","            3.1","         35 "
"       434","20                ","NEITHER           ","ALC/DRUG ABUSE OR DEPEND",NA,NA,NA,NA
"       435","20                ","NEITHER           ","ALC/DRUG ABUSE OR DEPEND",NA,NA,NA,NA
"       436","20                ","NEITHER           ","ALC/DRUG DEPENDENCE W      ","      107.82","           19.2","           16.4","         48 "
"       437","20                ","NEITHER           ","ALC/DRUG DEPENDENCE",NA,NA,NA,NA
"       438","20                ","NEITHER           ","NO LONGER VALID            ","           0","              0","              0","          0 "
"       439","21                ","PROCEDURAL        ","SKIN GRAFTS FOR INJURIES   ","      152.67","           11.8","            6.5","         38 "
"       440","21                ","PROCEDURAL        ","WOUND DEBRIDEMENTS FOR     ","      184.92","           13.9","            8.4","         40 "
"       441","21                ","PROCEDURAL        ","HAND PROCEDURES FOR        ","       68.72","            3.6","            2.4","         27 "
"       442","21                ","PROCEDURAL        ","OTHER O.R. PROCEDURES FOR  ","      193.77","           10.4","            6.2","         38 "
"       443","21                ","PROCEDURAL        ","OTHER O.R. PROCEDURES FOR  ","       75.95","              4","            2.7","         32 "
"       444","21                ","MEDICAL           ","TRAUMATIC INJURY AGE >17 W ","       75.66","            7.1","            5.2","         37 "
"       445","21                ","MEDICAL           ","TRAUMATIC INJURY AGE >17   ","       49.11","            4.8","            3.6","         30 "
"       446","21                ","MEDICAL           ","TRAUMATIC INJURY AGE 0-17  ","       47.38","            2.5","            2.4","         22 "
"       447","21                ","MEDICAL           ","ALLERGIC REACTIONS AGE >17 ","       47.76","            3.6","            2.6","         24 "
"       448","21                ","MEDICAL           ","ALLERGIC REACTIONS AGE 0-17","       34.28","             61","            2.9","         17 "
"       449","21                ","MEDICAL           ","POISONING & TOXIC EFFECTS  ","       78.67","              6","            4.2","         36 "
"       450","21                ","MEDICAL           ","POISONING & TOXIC EFFECTS  ","       44.28","            3.5","            2.5","         25 "
"       451","21                ","MEDICAL           ","POISONING & TOXIC EFFECTS  ","       51.26","              3","            2.1","         17 "
"       452","21                ","MEDICAL           ","COMPLICATIONS OF TREATMENT ","       81.84","            6.2","            4.2","         36 "
"       453","21                ","MEDICAL           ","COMPLICATIONS OF TREATMENT ","       41.77","            3.8","            2.8","         25 "
"       454","21                ","MEDICAL           ","OTHER INJURY",NA,NA,NA,NA
"       455","21                ","MEDICAL           ","OTHER INJURY",NA,NA,NA,NA
"       456","22                ","NEITHER           ","BURNS",NA,NA,NA,NA
"       457","22                ","MEDICAL           ","EXTENSIVE BURNS W/O O.R.   ","      167.31","            6.1","              3","         35 "
"       458","22                ","PROCEDURAL        ","NON-EXTENSIVE BURNS W SKIN ","      398.35","           23.6","           16.3","         48 "
"       459","22                ","PROCEDURAL        ","NON-EXTENSIVE BURNS W WOUND","      196.37","           15.8","           10.5","         43 "
"       460","22                ","MEDICAL           ","NON-EXTENSIVE BURNS W/O    ","      104.35","            9.3","            6.4","         38 "
"       461","23                ","PROCEDURAL        ","O.R. PROC W DIAGNOSES OF   ","       82.68","            5.1","            2.5","         34 "
"       462","23                ","MEDICAL           ","REHABILITATION             ","      183.46","           18.5","           14.2","         46 "
"       463","23                ","MEDICAL           ","SIGNS & SYMPTOMS W CC      ","       72.97","            6.9","              5","         37 "
"       464","23                ","MEDICAL           ","SIGNS & SYMPTOMS W/O CC    ","       44.95","            4.2","            3.1","         28 "
"       465","23                ","MEDICAL           ","AFTERCARE W HISTORY OF     ","       37.06","            2.9","            1.9","         19 "
"       466","23                ","MEDICAL           ","AFTERCARE W/O HISTORY OF   ","       56.93","            5.5","            2.6","         35 "
"       467","23                ","MEDICAL           ","OTHER FACTORS INFLUENCING  ","       43.03","            5.1","            2.5","         35 "
"       468","**                ","NEITHER           ","EXTENSIVE O.R. PROCEDURE   ","      342.38","           19.5","           13.3","         45 "
"       469","**                ","NEITHER           ","PRINCIPAL DIAGNOSIS INVALID","           0","              0","              0","          0 "
"       470","**                ","NEITHER           ","UNGROUPABLE                ","           0","              0","              0","          0 "
"       471","08                ","PROCEDURAL        ","BILATERAL OR MULTIPLE MAJOR","      396.23","           15.8","           13.3","         45 "
"       472","22                ","PROCEDURAL        ","EXTENSIVE BURNS W O.R.     ","     1395.63","           37.7","           22.8","         55 "
"       473","17                ","NEITHER           ","ACUTE LEUKEMIA W/O MAJOR   ","      333.81","           17.3","            9.8","         42 "
"       474","04                ","NEITHER           ","NO LONGER VALID            ","           0","              0","              0","          0 "
"       475","04                ","MEDICAL           ","RESPIRATORY SYSTEM         ","      360.94","           14.3","            9.8","         42 "
"       476","**                ","PROCEDURAL        ","PROSTATIC O.R. PROCEDURE   ","      221.75","           17.8","           14.3","         46 "
"       477","**                ","PROCEDURAL        ","NON-EXTENSIVE O.R.         ","      143.38","           10.7","            6.1","         38 "
"       478","05                ","PROCEDURAL        ","OTHER VASCULAR PROCEDURES W","      221.77","           11.1","            7.2","         39 "
"       479","05                ","PROCEDURAL        ","OTHER VASCULAR PROCEDURES  ","      132.59","            5.9","            4.4","         36 "
"       480","**                ","PROCEDURAL        ","LIVER TRANSPLANT           ","     2282.13","           51.8","           36.6","         69 "
"       481","**                ","PROCEDURAL        ","BONE MARROW TRANSPLANT     ","      1528.9","           41.3","           37.8","         70 "
"       482","**                ","PROCEDURAL        ","TRACHEOSTOMY W MOUTH",NA,NA,NA,NA
"       483","**                ","PROCEDURAL        ","TRACHEOSTOMY EXCEPT FOR    ","     1415.06","           52.2","           39.9","         72 "
"       484","24                ","PROCEDURAL        ","CRANIOTOMY FOR MULTIPLE    ","      625.99","           23.8","           14.5","         46 "
"       485","24                ","PROCEDURAL        ","LIMB REATTACHMENT",NA,NA,NA,NA
"       486","24                ","PROCEDURAL        ","OTHER O.R. PROCEDURES FOR  ","      524.91","             19","           11.1","         43 "
"       487","24                ","MEDICAL           ","OTHER MULTIPLE SIGNIFICANT ","      182.18","           11.3","            7.6","         40 "
"       488","25                ","PROCEDURAL        ","HIV W EXTENSIVE O.R.       ","      431.06","           22.8","             17","         49 "
"       489","25                ","MEDICAL           ","HIV W MAJOR RELATED        ","       197.9","           14.3","            9.6","         42 "
"       490","25                ","MEDICAL           ","HIV W OR W/O OTHER RELATED ","      119.04","            9.3","            5.4","         37 "
"       491","08                ","PROCEDURAL        ","MAJOR JOINT & LIMB         ","      156.33","              7","            5.8","         33 "
"       492","17                ","MEDICAL           ","CHEMOTHERAPY W ACUTE       ","      257.37","           13.9","            8.3","         40 "
